name,prompt,negative_prompt
Style: Stop-Motion Animation\定格动画,"stop-motion animation {prompt} . physical models, frame-by-frame, quirky, distinctive, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Claymation\粘土动画,"claymation {prompt} . clay models, stop-motion, handcrafted, tactile, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Vector Animation\矢量动画,"vector animation {prompt} . digital, clean lines, geometric shapes, bold colors, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Flash Animation\Flash动画,"flash animation {prompt} . digital, vector graphics, tweening, simple shapes, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Rotoscope Animation\转描动画,"rotoscope animation {prompt} . traced over live-action, realistic movement, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Cut-Out Animation\ 剪纸动画,"cut-out animation {prompt} . paper or fabric cut-outs, stop-motion, handcrafted, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Sand Animation\沙动画,"sand animation {prompt} . sand manipulated on light box, fluid movement, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Pixel Art Animation\像素艺术动画,"pixel art animation {prompt} . low-res, blocky, digital, 8-bit, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Anime Style Animation\动漫风格动画,"anime style animation {prompt} . Japanese style, hand-drawn or digital, vibrant, unique character designs, highly detailed","western cartoons, 3D, CG, black and white"
Style: Manga Style Art\漫画风格艺术,"manga style {prompt} . Japanese comics, black and white, unique character designs, detailed backgrounds, highly detailed","western comics, 3D, CG, vibrant colors"
Style: Chibi Style Art\赤壁风格艺术,"chibi style {prompt} . Japanese, super-deformed, cute, exaggerated features, vibrant colors, highly detailed","realistic, 3D, CG, western comics, black and white"
Style: Superflat\超扁平,"superflat {prompt} . Japanese, postmodern art, flat planes of color, manga and anime influences, highly detailed","3D, CG, western art styles, black and white"
Style: Western Comics Art\西方漫画艺术,"western comics art {prompt} . bold lines, dynamic poses, vibrant colors, dramatic lighting, highly detailed","anime, manga, 3D, CG, black and white"
Style: Graphic Novel Art\图画小说艺术,"graphic novel art {prompt} . detailed, expressive, ranges from black and white to full color, often more realistic than traditional comics, highly detailed","anime, manga, 3D, CG, western comics"
Style: Cartoon Modern\卡通现代,"cartoon modern {prompt} . mid-century modern aesthetic, stylized, geometric shapes, flat colors, highly detailed","realistic, 3D, CG, anime, manga, black and white"
Style: Abstract Animation\抽象动画,"abstract animation {prompt} . nonrepresentational, uses movement and color to create mood or emotion, highly detailed","realistic, 3D, CG, anime, manga, black and white"
Style: Silhouette Animation\剪影动画,"silhouette animation {prompt} . black figures against light background, dramatic, based on shadow puppetry, highly detailed","colorful, 3D, CG, anime, manga, black and white"
Style: Looney Tunes\乐一通,"Looney Tunes {prompt} . Cartoon, slapstick humor, dynamic and exaggerated character designs, colorful, vibrant, whimsical","3D, realism, manga, black and white, subdued, serious"
Style: Disney Classic\迪士尼经典,"Disney Classic {prompt} . Animation, fairy tales, musical numbers, expressive characters, bright colors, detailed, professional","manga, anime, black and white, sketchy, rough"
Style: Studio Ghibli\吉卜力工作室,"Studio Ghibli {prompt} . Anime, magical realism, environmental themes, unique characters, breathtaking landscapes, highly detailed","cartoon, slapstick, black and white, photo-realistic, barren"
Style: Pixar\皮克斯,"Pixar {prompt} . 3D animation, heartwarming stories, photorealistic environments, appealing character designs, emotional depth, detailed, professional","2D, anime, manga, black and white, sketchy"
Style: Shōnen\少年,"Shōnen {prompt} . Manga, action-packed, youthful characters, dynamic battles, inspiring themes, highly detailed","Disney, Pixar, black and white, realism, romantic comedy"
Style: Mecha\机甲,"Mecha {prompt} . Anime, robots, futuristic technologies, dynamic battles, detailed mechanical designs, highly detailed","Disney, Pixar, cartoon, Looney Tunes, realism, fairy tales"
Style: Shojo\少女,"Shojo {prompt} . Manga, romantic themes, delicate art style, emotional narratives, highly detailed","action, mecha, 3D, Pixar, black and white, barren"
Style: Nickelodeon\尼克频道,"Nickelodeon {prompt} . Cartoon, humor, dynamic characters, wacky and colorful designs, highly detailed","anime, manga, black and white, sketchy, serious"
Style: Cartoon Network\卡通网络,"Cartoon Network {prompt} . Cartoon, humor, dynamic characters, unique and abstract designs, highly detailed","anime, manga, black and white, sketchy, serious"
Style: Adult Swim\成人游泳,"Adult Swim {prompt} . Animation, adult humor, surreal themes, unique and abstract designs, highly detailed","children's cartoons, Disney, fairy tales, bright colors, traditional"
Style: Adventure Time\冒险时光,"Adventure Time {prompt} . Cartoon, fantasy themes, quirky characters, vibrant colors, highly detailed","anime, manga, black and white, sketchy, serious"
Style: Rick and Morty\瑞克和莫蒂,"Rick and Morty {prompt} . Cartoon, science fiction, adult humor, unique and abstract designs, highly detailed","children's cartoons, Disney, fairy tales, bright colors, traditional"
Style: South Park\南方公园,"South Park {prompt} . Animation, satire, crude humor, simplistic designs, highly detailed","anime, manga, Disney, Pixar, detailed, professional"
Style: The Simpsons\辛普森一家,"The Simpsons {prompt} . Animation, satire, family themes, recognizable yellow characters, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Family Guy\恶搞之家,"Family Guy {prompt} . Animation, adult humor, satirical themes, cartoonish designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Bob's Burgers\鲍勃汉堡,"Bob's Burgers {prompt} . Animation, family themes, humor, quirky characters, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Gravity Falls\重力瀑布,"Gravity Falls {prompt} . Cartoon, mystery, fantasy themes, unique character designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Steven Universe\史蒂文宇宙,"Steven Universe {prompt} . Cartoon, LGBTQ+ themes, fantasy, vibrant colors, unique character designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: One Piece款式: 一件式,"One Piece {prompt} . Manga, adventure, pirates, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Attack on Titan\进击的巨人,"Attack on Titan {prompt} . Anime, dystopian, giants, dynamic battles, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: My Hero Academia\我的英雄学院,"My Hero Academia {prompt} . Anime, superhero, high school, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Naruto\火影忍者,"Naruto {prompt} . Anime, ninjas, coming-of-age, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Dragon Ball Z\龙珠Z,"Dragon Ball Z {prompt} . Anime, martial arts, aliens, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Sailor Moon\美少女战士,"Sailor Moon {prompt} . Anime, magical girls, romance, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Cowboy Bebop\星际牛仔,"Cowboy Bebop {prompt} . Anime, space western, bounty hunters, noir themes, highly detailed","cartoon, realism, Disney, Pixar, black and white"
______GPT Famous Artists______GPT 著名艺术家,,
Style: Van Gogh\梵高,Van Gogh style {prompt} . Expressive," impasto, swirling brushwork, vibrant, realistic, photorealistic, calm, straight lines"
Style: Warhol\沃霍尔,Warhol style {prompt} . Pop art," bold colors, mass production, repetitive, subdued colors, traditional, unique, serious"
Style: Picasso\毕加索,Picasso style {prompt} . Cubist," geometric, abstract, innovative, realistic, detailed, smooth, fluid, single perspective"
Style: Da Vinci\达芬奇,Da Vinci style {prompt} . Realistic," sfumato, detailed, chiaroscuro, abstract, vibrant colors, bold, loose brushwork"
Style: Monet\莫奈,Monet style {prompt} . Impressionist," light-filled, loose brushwork, en plein air, defined, detailed, subdued, studio work"
Style: Dali\大理,Dali style {prompt} . Surrealist," dreamlike, bizarre, symbolic, realistic, ordinary, rational, clear, obvious"
Style: Pollock\波洛克,Pollock style {prompt} . Abstract expressionist," gestural, dripping, layered, sharp, precise, realistic, calm"
Style: Rothko\罗斯科,Rothko style {prompt} . Color field," abstract, simple, large-scale, detailed, small, complex, figurative"
Style: Matisse\马蒂斯,Matisse style {prompt} . Fauvist," bold colors, loose, decorative, realistic, subdued colors, detailed, serious"
Style: Banksy\班克斯,Banksy style {prompt} . Street Art," stencil, satirical, black and white, Studio Art, oil painting, serious, color"
Style: Michelangelo\米开朗基罗,Michelinagelo style {prompt} . High Renaissance," sculptural, detailed, humanistic, abstract, loose, simplistic, impersonal"
Style: Kusama\草间弥生,Kusama style {prompt} . Pop Art," abstract, polka dots, immersive, plain, monotone, realistic, sparse"
Style: Hokusai\北斋,Hokusai style {prompt} . Ukiyo-e," woodblock print, detailed, narrative, abstract, free-form, modern, minimal"
Style: O'Keeffe\欧姬芙,O'Keeffe style {prompt} . Modernist," floral, bold, abstract, small scale, detailed, muted colors, complex"
Style: Cézanne\塞尚,Cézanne style {prompt} . Post-impressionist," geometric, detailed, brushstrokes, smooth, flat, loose, fluid"
Style: Hopper\漏斗,Hopper style {prompt} . Realistic," light and shadow, loneliness, American urban, busy, crowded, vibrant, abstract"
Style: Klimt\克里姆特,Klimt style {prompt} . Symbolist," decorative, ornamental, sensual, simple, bare, abstract, rough"
Style: Chagall\夏加尔,Chagall style {prompt} . Surrealist," dreamy, vibrant, narrative, realistic, dull, serious, minimal"
Style: Lichtenstein\列支敦士登,Lichtenstein style {prompt} . Pop art," comic strip, bold, ironic, realistic, traditional, serious, detailed"
Style: Basquiat\巴斯奎特,Basquiat style {prompt} . Neo-expressionist," primitive, graffiti, social commentary, polished, elegant, subdued, subtle"
Style: Frida Kahlo\弗里达·卡罗,Frida Kahlo style {prompt} . Surrealist," autobiographical, vibrant, symbolic, Realist, historical, muted, literal"
Style: Georgia O'Keeffe\乔治亚·欧姬芙,Georgia O'Keeffe style {prompt} . Modernist," flowers, close-up, sensual, Cubist, objects, far-off, detached"
Style: Jackson Pollock\杰克逊·波洛克,Jackson Pollock style {prompt} . Abstract Expressionist," drip, large-scale, spontaneous, Cubist, precise, small-scale, planned"
Style: Rembrandt\伦勃朗,Rembrandt style {prompt} . Baroque," chiaroscuro, realistic, emotional, flat lighting, abstract, impersonal, clean"
Style: Renoir\雷诺阿,Renoir style {prompt} . Impressionist," vibrant, lively, warm, dull, calm, detailed, cool colors"
Style: Magritte\马格利特,Magritte style {prompt} . Surrealist," thought-provoking, mysterious, realistic, abstract, obvious, open, unrefined"
Style: Manet\马奈,Manet style {prompt} . Realistic," impressionistic, bold, contemporary, abstract, traditional, timid, historical"
Style: Vermeer\维米尔,Vermeer style {prompt} . Baroque," detailed, light, tranquil, abstract, rough, dark, chaotic"
Style: Caravaggio\卡拉瓦乔,Caravaggio style {prompt} . Baroque," tenebrism, dramatic, religious, Renaissance, bright, calm, secular"
Style: Rodin\罗丹,Rodin style {prompt} . Realistic," expressive, textured, bronze, smooth, emotionless, polished, painted"
Style: Botticelli\波提切利,Botticelli style {prompt} . Early Renaissance," allegorical, graceful, detailed, abstract, harsh, simplified, rough"
Style: Edward Hopper\爱德华·霍珀,Edward Hopper style {prompt} . Realistic," isolation, strong light, urban, impressionistic, crowded, soft light, rural"
Style: Keith Haring\基思·哈林,Keith Haring style {prompt} . Pop art," street art, bold lines, active figures, Impressionism, studio art, fine brushwork, passive landscape"
Style: Damien Hirst\达米恩·赫斯特,Damien Hirst style {prompt} . Contemporary," controversial, installation, medical, Classical, traditional, canvas, floral"
Style: Yayoi Kusama\草间弥生,Yayoi Kusama style {prompt} . Contemporary," polka dots, infinity rooms, red, Classical, plain, single room, blue"
Style: Francis Bacon\弗朗西斯·培根,Francis Bacon style {prompt} . Expressionist," distorted, triptych, anguish, Classical, proportional, single panel, contentment"
Style: Ai Weiwei\艾未未,Ai Weiwei style {prompt} . Contemporary," political, installation, ceramics, Renaissance, neutral, oil painting, metals"
Style: Cindy Sherman\辛迪·谢尔曼,Cindy Sherman style {prompt} . Contemporary," self-portrait, photography, identity, Traditional, landscape, painting, anonymity"
Style: Frank Stella\弗兰克·斯特拉,Frank Stella style {prompt} . Minimalist," geometric, large scale, non-representational, maximalist, organic, small scale, representational"
Style: Lucian Freud\卢西安·弗洛伊德,Lucian Freud style {prompt} . Realistic," impasto, psychological, intimate, abstract, smooth, impersonal, public"
Style: Marc Chagall\马克·夏加尔,Marc Chagall style {prompt} . Surrealist," dreamlike, colorful, narrative, Realist, day-to-day, monochrome, non-narrative"
Style: Roy Lichtenstein\罗伊·利希滕斯坦,Roy Lichtenstein style {prompt} . Pop art," comic strip, benday dots, primary colors, Abstract expressionism, serious subject, brushwork, secondary colors"
Style: Thomas Kinkade\托马斯·金凯德,Thomas Kinkade style {prompt} . Romantic," idealized, warm light, detailed, abstract, harsh, cool light, minimalist"
Style: Joan Miró\胡安·米罗,Joan Miró style {prompt} . Surrealist," abstract, biomorphic forms, primary colors, realistic, figurative, complex, muted colors"
Style: Gerhard Richter\格哈德·里希特,Gerhard Richter style {prompt} . Abstract," squeegee, photo-based, blurred, Realistic, brushwork, imagination-based, detailed"
Style: Wassily Kandinsky\瓦西里·康定斯基,Wassily Kandinsky style {prompt} . Abstract," musical, geometric, vibrant, realistic, silent, organic, subdued"
Style: Norman Rockwell\诺曼·洛克威尔,Norman Rockwell style {prompt} . Realistic," narrative, Americana, detailed, abstract, non-narrative, foreign, minimalist"
Style: Bridget Riley\布里吉特·莱利,Bridget Riley style {prompt} . Op Art," geometric, black and white, optical, Impressionist, organic, colorful, static"
Style: Piet Mondrian\皮特·蒙德里安,Piet Mondrian style {prompt} . De Stijl," geometric, primary colors, balanced, Surrealist, organic, pastel colors, chaotic"
Style: Salvador Dalí\萨尔瓦多·达利,Salvador Dalí style {prompt} . Surrealist," dreamlike, precise, melting, Realist, day-to-day, loose, solid"
Style: Mary Cassatt\玛丽·卡萨特,Mary Cassatt style {prompt} . Impressionist," domestic, pastel, feminine, Realist, urban, oil, masculine"
Style: Diego Rivera\迭戈·里维拉,Diego Rivera style {prompt} . Muralist," social realist, Mexican culture, narrative, miniature, abstract, foreign, non-narrative"
Style: Jean-Michel Basquiat\让·米歇尔·巴斯奎特,Jean-Michel Basquiat style {prompt} . Neo-expressionist," graffiti, crown, vibrant, Photorealism, calligraphy, mundane, subdued"
Style: Henry Moore\亨利摩尔,Henry Moore style {prompt} . Modernist," sculpture, organic, monumental, Classical, painting, geometric, small"
Style: Grant Wood\格兰特·伍德,Grant Wood style {prompt} . Regionalist," rural, detailed, Americana, urban, abstract, vague, non-American"
Style: Andy Goldsworthy\安迪·戈兹沃西,Andy Goldsworthy style {prompt} . Environmental," temporary, nature, outdoors, Industrial, permanent, man-made, indoors"
Style: Louise Bourgeois\路易丝·布尔乔亚,Louise Bourgeois style {prompt} . Contemporary," sculpture, feminist, fabric, Classical, painting, patriarchal, oil"
Style: Ansel Adams\安塞尔·亚当斯,Ansel Adams style {prompt} . Black and white," nature, high contrast, detailed, color, urban, low contrast, vague"
Style: Yoko Ono\小野洋子,Yoko Ono style {prompt} . Conceptual," performance, instruction, peace, Realist, still life, detailed, war"
Style: Gustav Klimt\古斯塔夫·克里姆特,Gustav Klimt style {prompt} . Symbolist," decorative, golden, intricate, realistic, functional, monochrome, simplified"
Style: Jeff Koons\杰夫·昆斯,Jeff Koons style {prompt} . Contemporary," kitsch, glossy, large-scale, traditional, serious, matte, small-scale"
Style: John Singer Sargent\约翰·辛格·萨金特,John Singer Sargent style {prompt} . Realistic," elegant, portrait, expressive, abstract, casual, landscape, subdued"
Style: Marcel Duchamp\马塞尔·杜尚,Marcel Duchamp style {prompt} . Dada," readymade, conceptual, controversial, traditional, handmade, decorative, safe"
Style: Claude Monet\克劳德·莫奈,Claude Monet style {prompt} . Impressionist," outdoor, light, loose brushwork, neoclassical, indoor, dark, tight brushwork"
Style: Anish Kapoor\安尼什·卡普尔,Anish Kapoor style {prompt} . Abstract," large-scale, reflective, curved, figurative, small-scale, matte, straight lines"
Style: Hieronymus Bosch\希罗尼穆斯·博斯,Hieronymus Bosch style {prompt} . Surrealist," detailed, religious, narrative, realistic, abstract, secular, non-narrative"
Style: Paul Gauguin\保罗·高更,Paul Gauguin style {prompt} . Post-Impressionist," exotic, bold colors, flat, Impressionist, familiar, muted colors, volumetric"
Style: Katsushika Hokusai\葛饰北斋,Katsushika Hokusai style {prompt} . Ukiyo-e," nature, woodblock print, detailed, western style, urban, oil painting, abstract"
Style: Pierre-Auguste Renoir\皮埃尔·奥古斯特·雷诺阿,Pierre-Auguste Renoir style {prompt} . Impressionist," joyful, light, loose brushwork, neoclassical, somber, dark, tight brushwork"
Style: Antony Gormley\安东尼·葛姆雷,Antony Gormley style {prompt} . Sculpture," human form, rusted metal, public art, Painting, abstract, bright colors, gallery art"
Style: Kazimir Malevich\卡齐米尔·马列维奇,Kazimir Malevich style {prompt} . Suprematism," abstract, geometric, minimal, Realism, figurative, detailed, maximal"
Style: Jean-Antoine Watteau\让·安托万·华托,Jean-Antoine Watteau style {prompt} . Rococo," outdoor, elegant, lively, Baroque, indoor, serious, static"
Style: Constantin Brâncuși\康斯坦丁·布朗库西,Constantin Brâncuși style {prompt} . Modernist," abstract, bronze, streamlined, traditional, figurative, wood, complex"
Style: Egon Schiele\埃贡·席勒,Egon Schiele style {prompt} . Expressionist," figure, distorted, emotional, Impressionist, landscape, proportional, detached"
Style: Nam June Paik\白南准,Nam June Paik style {prompt} . Video art," television, interactive, futuristic, Traditional art, canvas, passive, historical"
Style: James Whistler\詹姆斯·惠斯勒,James Whistler style {prompt} . Tonalism," atmospheric, subdued, abstract, Fauvism, vibrant, bold, detailed"
Style: Lucio Fontana\卢西奥·丰塔纳,Lucio Fontana style {prompt} . Spatialism," monochrome, slashed, minimal, Futurism, colorful, whole, detailed"
Style: Artemisia Gentileschi\艾蒿·真蒂莱斯基,Artemisia Gentileschi style {prompt} . Baroque," dramatic, biblical, female-centric, Rococo, calm, mythological, male-centric"
Style: Jean Dubuffet\让·杜布菲,Jean Dubuffet style {prompt} . Art Brut," textured, primal, abstract, Academic art, smooth, refined, realistic"
Style: Sandro Botticelli\桑德罗·波提切利,Sandro Botticelli style {prompt} . Early Renaissance," mythological, linear, vibrant, Baroque, historical, painterly, subdued"
Style: Carl Andre\卡尔·安德烈,Carl Andre style {prompt} . Minimalist," geometric, industrial, ground-level, Baroque, organic, handcrafted, elevated"
Style: David Hockney\大卫·霍克尼,David Hockney style {prompt} . Pop Art," vibrant colors, collage, landscapes, Abstract Expressionism, muted colors, single panel, figures"
Style: Jenny Holzer\珍妮·霍尔泽,Jenny Holzer style {prompt} . Conceptual," text, LED, public spaces, Realism, image, oil painting, private spaces"
Style: Dante Gabriel Rossetti\但丁·加布里埃尔·罗塞蒂,Dante Gabriel Rossetti style {prompt} . Pre-Raphaelite," medieval, literary, romantic, Futurist, modern, abstract, stark"
Style: Zaha Hadid\扎哈·哈迪德,Zaha Hadid style {prompt} . Modernist," organic, futuristic, curved, Classical, geometric, traditional, straight lines"
Style: Takashi Murakami\村上隆,Takashi Murakami style {prompt} . Superflat," pop culture, colorful, cartoonish, Cubist, high culture, monochrome, realistic"
Style: Edward Weston\爱德华·韦斯顿,Edward Weston style {prompt} . Photography," black and white, still life, detailed, Painting, color, action, abstract"
Style: Edvard Munch\爱德华·蒙克,Edvard Munch style {prompt} . Expressionist," psychological, bold colors, distorted, Impressionist, physical, muted colors, proportional"
Style: Georges Braque\乔治·布拉克,Georges Braque style {prompt} . Cubist," abstract, collage, muted colors, Romantic, realistic, oil painting, vibrant colors"
Style: Sol LeWitt\索尔·勒维特,Sol LeWitt style {prompt} . Conceptual," geometric, minimal, instructional, Expressionist, organic, complex, spontaneous"
Style: Giuseppe Arcimboldo\朱塞佩·阿尔钦博托,Giuseppe Arcimboldo style {prompt} . Mannerist," portrait, food, symbolic, Cubist, landscape, abstract, literal"
Style: Yves Klein\伊夫·克莱因,Yves Klein style {prompt} . Nouveau réalisme," monochrome, blue, performance, Pop Art, colorful, red, static"
Style: Mark Rothko\马克·罗斯科,Mark Rothko style {prompt} . Abstract Expressionist," color field, large-scale, emotional, Pop Art, pattern, small-scale, detached"
Style: Joseph Beuys\约瑟夫·博伊斯,Joseph Beuys style {prompt} . Fluxus," performance, social sculpture, felt, Minimalism, painting, object, metal"
Style: Berthe Morisot\贝尔特·莫里索,Berthe Morisot style {prompt} . Impressionist," feminine, domestic, light, Surrealist, masculine, public, dark"
Style: Agnes Martin\艾格尼丝·马丁,Agnes Martin style {prompt} . Minimalist," geometric, grid, subtle, Baroque, organic, floral, bold"
Style: Henri Cartier-Bresson\亨利·卡地亚·布列松,Henri Cartier-Bresson style {prompt} . Photography," decisive moment, black and white, candid, Painting, posed, color, staged"
Style: Marina Abramović\玛丽娜·阿布拉莫维奇,Marina Abramović style {prompt} . Performance," endurance, audience participation, minimal, Sculpture, instant, observer, complex"
Style: Man Ray\曼雷,Man Ray style {prompt} . Dada," photography, rayograph, experimental, Realism, painting, traditional, conventional"
Style: Käthe Kollwitz\凯绥·蔻勒惠支,Käthe Kollwitz style {prompt} . Expressionist," social realism, black and white, human suffering, Impressionist, aestheticism, color, human joy"
Style: Robert Rauschenberg\罗伯特·劳森伯格,Robert Rauschenberg style {prompt} . Neo-Dada," combine, mixed-media, assemblage, Minimalism, singular material, oil painting, separated"
Style: Lyonel Feininger\莱昂内尔·费宁格,Lyonel Feininger style {prompt} . Expressionist," Cubist, architecture, transparent, Impressionist, organic, landscape, opaque"
Style: Tracey Emin\特蕾西·艾敏,Tracey Emin style {prompt} . YBA," confessional, neon, textile, Old Masters, universal, oil, marble"
Style: René Magritte\雷内·马格里特,René Magritte style {prompt} . Surrealist," object, juxtaposition, mystery, Realist, figure, relation, clarity"
Style: Rachel Whiteread\雷切尔·怀特雷德,Rachel Whiteread style {prompt} . Contemporary," sculpture, negative space, cast, Traditional, drawing, positive space, sketch"
Style: Tomma Abts\托玛·阿布茨,Tomma Abts style {prompt} . Abstract," geometric, small-scale, acrylic and oil, Figurative, organic, large-scale, watercolor"
Style: Max Ernst\马克斯·恩斯特,Max Ernst style {prompt} . Surrealist," collage, frottage, dreamlike, Realist, oil painting, brushwork, day-to-day"
Style: Richard Serra\理查德·塞拉,Richard Serra style {prompt} . Minimalist," sculpture, corten steel, site-specific, Baroque, painting, canvas, gallery-specific"
Style: Ernst Ludwig Kirchner\恩斯特·路德维希·基什内尔,Ernst Ludwig Kirchner style {prompt} . Expressionist," urban, woodcut, vibrant, Impressionist, rural, oil painting, subdued"
Style: Eva Hesse\伊娃·黑塞,Eva Hesse style {prompt} . Postminimalist," sculpture, organic, fiberglass, Minimalist, painting, geometric, canvas"
Style: Paul Cézanne\保罗·塞尚,Paul Cézanne style {prompt} . Post-Impressionist," still life, geometric, brushwork, Impressionist, action, organic, smooth"
Style: Chuck Close\查克·克洛斯,Chuck Close style {prompt} . Photorealism," portrait, large-scale, gridded, Impressionism, landscape, small-scale, loose"
Style: Thomas Gainsborough\托马斯庚斯博罗,Thomas Gainsborough style {prompt} . Rococo," landscape, elegant, oil, Baroque, portrait, casual, pastel"
Style: Alexander Calder\亚历山大·考尔德,Alexander Calder style {prompt} . Kinetic," mobile, primary colors, balanced, Static, statue, pastel colors, unbalanced"
Style: Anselm Kiefer\安塞姆·基弗,Anselm Kiefer style {prompt} . Neo-expressionist," monumental, textured, historical, Minimalist, small-scale, smooth, futuristic"
Style: Amedeo Modigliani\阿梅代奥·莫迪利亚尼,Amedeo Modigliani style {prompt} . Modernist," portrait, elongated, nude, Cubist, landscape, proportional, clothed"
Style: Gilbert & George\吉尔伯特和乔治,Gilbert & George style {prompt} . Contemporary," photographic, duo, confrontational, Traditional, painted, individual, pleasant"
Style: El Greco\格列柯,El Greco style {prompt} . Mannerist," religious, elongated, dramatic, Renaissance, secular, proportional, calm"
Style: Rembrandt van Rijn\伦勃朗·凡·莱恩,Rembrandt van Rijn style {prompt} . Baroque," self-portrait, chiaroscuro, etching, Rococo, group portrait, bright, oil painting"
Style: Louise Nevelson\路易丝·内维尔森,Louise Nevelson style {prompt} . Abstract expressionist," sculpture, monochrome, found objects, Realist, painting, colorful, new materials"
Style: James Turrell\詹姆斯·特瑞尔,James Turrell style {prompt} . Land art," light, immersive, perceptual, Street art, dark, observational, intellectual"
Style: Édouard Manet\爱德华·马奈,Édouard Manet style {prompt} . Realist," modern life, loose brushwork, controversial, Romantic, history, fine brushwork, conventional"
Style: Dan Flavin\丹·弗莱文,Dan Flavin style {prompt} . Minimalist," light, fluorescent, site-specific, Baroque, dark, oil, gallery-specific"
Style: Sarah Lucas\莎拉·卢卡斯,Sarah Lucas style {prompt} . YBA," feminist, readymade, provocative, Old Masters, masculine, handmade, conservative"
Style: Johannes Vermeer\约翰内斯·维米尔,Johannes Vermeer style {prompt} . Baroque," domestic, light, detailed, Cubist, public, dark, abstract"
Style: Tadao Ando\安藤忠雄,Tadao Ando style {prompt} . Minimalist," concrete, light, water, Baroque, brick, dark, dry"
Style: Joseph Cornell\约瑟夫·康奈尔,Joseph Cornell style {prompt} . Surrealist," box, found objects, nostalgic, Minimalist, open space, new materials, contemporary"
Style: Gustave Courbet\古斯塔夫·库尔贝,Gustave Courbet style {prompt} . Realist," rural life, coarse brushwork, controversial, Neoclassical, noble life, fine brushwork, conventional"
Style: Richard Long\理查德·朗,Richard Long style {prompt} . Land art," circle, natural materials, ephemeral, Street art, square, synthetic materials, permanent"
Style: Otto Dix\奥托·迪克斯,Otto Dix style {prompt} . New Objectivity," war, grotesque, social critique, Impressionism, peace, beautiful, aesthetic enjoyment"
Style: Barnett Newman\巴尼特·纽曼,Barnett Newman style {prompt} . Abstract expressionism," zip, large-scale, color field, Pop art, pattern, small-scale, comic strip"
Style: Sophie Calle\苏菲·卡勒,Sophie Calle style {prompt} . Conceptual," photography, text, personal, Abstract, painting, brushwork, universal"
Style: KAWS\KAWS,KAWS style {prompt} . Pop art," vinyl toy, X eyes, cartoonish, Conceptual, bronze statue, normal eyes, realistic"
Style: Francis Picabia\弗朗西斯·毕卡比亚,Francis Picabia style {prompt} . Dada," machine, painting, provocative, Impressionism, nature, sketch, pleasant"
Style: H.R. Giger\H.R.吉格尔,H.R. Giger style {prompt} . Surrealist," biomechanical, airbrush, dark, Impressionist, human, brush, light"
Style: Jean Arp\让·阿尔普,Jean Arp style {prompt} . Dada," abstract, biomorphic, sculpture, Realism, figurative, geometric, painting"
Style: Fernand Léger\费尔南·莱热,Fernand Léger style {prompt} . Cubist," mechanical, mural, bold colors, Surrealist, organic, small-scale, muted colors"
Style: Barbara Kruger\芭芭拉·克鲁格,Barbara Kruger style {prompt} . Conceptual," text, black and white, feminist, Impressionist, image, color, patriarchal"
Style: Piero della Francesca\皮耶罗·德拉·弗朗西斯卡,Piero della Francesca style {prompt} . Renaissance," fresco, mathematical, religious, Contemporary, installation, random, secular"
Style: Richard Hamilton\理查德·汉密尔顿,Richard Hamilton style {prompt} . Pop Art," collage, consumer culture, mixed media, Impressionism, oil painting, rural life, single medium"
Style: Grayson Perry\格雷森·佩里,Grayson Perry style {prompt} . Contemporary," ceramics, tapestry, narrative, Old Masters, oil painting, canvas, non-narrative"
Style: Faith Ringgold\Faith Ringgold,Faith Ringgold style {prompt} . Contemporary," quilt, narrative, feminist, Abstract, sculpture, non-narrative, masculine"
Style: Olafur Eliasson\奥拉维尔·埃利亚松,Olafur Eliasson style {prompt} . Installation," light, environment, perceptual, Painting, dark, indoors, cognitive"
Style: Kiki Smith\琪琪·史密斯,Kiki Smith style {prompt} . Feminist," body, sculpture, mythological, Patriarchal, landscape, painting, historical"
Style: Chris Ofili\克里斯·奥菲利,Chris Ofili style {prompt} . YBA," mixed-media, elephant dung, decorative, Minimalism, single-media, clean, austere"
Style: Ellsworth Kelly\埃尔斯沃斯·凯利,Ellsworth Kelly style {prompt} . Hard-edge painting," color field, minimalist, geometric, Impressionism, detailed, ornate, organic "
